year	country	city	stage	home_team	away_team	home_score	away_score	outcome	win_conditions	winning_team	losing_team	date
1962	Chile	Santiago	Group2	Chile	West-Germany	0	2	A	NA	West-Germany	Chile	06/06/1962
1962	Chile	Arica	Group1	USSR	Uruguay	2	1	H	NA	USSR	Uruguay	06/06/1962
1962	Chile	Rancagua	Group4	Bulgaria	England	0	0	D	NA	NA	NA	07/06/1962
1962	Chile	Arica	Group1	Colombia	Yugoslavia	0	5	A	NA	Yugoslavia	Colombia	07/06/1962
1962	Chile	Vina-del-Mar	Group3	Czechoslovakia	Mexico	1	3	A	NA	Mexico	Czechoslovakia	07/06/1962
1962	Chile	Santiago	Group2	Italy	Switzerland	3	0	H	NA	Italy	Switzerland	07/06/1962
1962	Chile	Vina-del-Mar	Quartfinals	Brazil	England	3	1	H	NA	Brazil	England	10/06/1962
1962	Chile	Arica	Quartfinals	Chile	USSR	2	1	H	NA	Chile	USSR	10/06/1962
1962	Chile	Rancagua	Quartfinals	Czechoslovakia	Hungary	1	0	H	NA	Czechoslovakia	Hungary	10/06/1962
1962	Chile	Santiago	Quartfinals	West-Germany	Yugoslavia	0	1	A	NA	Yugoslavia	West-Germany	10/06/1962
1962	Chile	Santiago	Semifinals	Chile	Brazil	2	4	A	NA	Brazil	Chile	13/06/1962
1962	Chile	Vina-del-Mar	Semifinals	Czechoslovakia	Yugoslavia	3	1	H	NA	Czechoslovakia	Yugoslavia	13/06/1962
1962	Chile	Santiago	Third-place	Chile	Yugoslavia	1	0	H	NA	Chile	Yugoslavia	16/06/1962
1962	Chile	Santiago	Final	Brazil	Czechoslovakia	3	1	H	NA	Brazil	Czechoslovakia	17/06/1962
1966	England	London	Group1	England	Uruguay	0	0	D	NA	NA	NA	11/07/1966
1966	England	Liverpool	Group3	Brazil	Bulgaria	2	0	H	NA	Brazil	Bulgaria	12/07/1966
1966	England	Sheffield	Group2	West-Germany	Switzerland	5	0	H	NA	West-Germany	Switzerland	12/07/1966
1966	England	Middlesbrough	Group4	North-Korea	USSR	0	3	A	NA	USSR	North-Korea	12/07/1966
1966	England	Birmingham	Group2	Argentina	Spain	2	1	H	NA	Argentina	Spain	13/07/1966
1966	England	Sunderland	Group4	Chile	Italy	0	2	A	NA	Italy	Chile	13/07/1966
1966	England	London	Group1	France	Mexico	1	1	D	NA	NA	NA	13/07/1966
1966	England	Manchester	Group3	Hungary	Portugal	1	3	A	NA	Portugal	Hungary	13/07/1966
1966	England	Liverpool	Group3	Brazil	Hungary	1	3	A	NA	Hungary	Brazil	15/07/1966
1966	England	Middlesbrough	Group4	Chile	North-Korea	1	1	D	NA	NA	NA	15/07/1966
1966	England	London	Group1	France	Uruguay	1	2	A	NA	Uruguay	France	15/07/1966
1966	England	Sheffield	Group2	Spain	Switzerland	2	1	H	NA	Spain	Switzerland	15/07/1966
1966	England	Birmingham	Group2	Argentina	West-Germany	0	0	D	NA	NA	NA	16/07/1966
1966	England	Manchester	Group3	Bulgaria	Portugal	0	3	A	NA	Portugal	Bulgaria	16/07/1966
1966	England	London	Group1	England	Mexico	2	0	H	NA	England	Mexico	16/07/1966
1966	England	Sunderland	Group4	Italy	USSR	0	1	A	NA	USSR	Italy	16/07/1966
1966	England	Sheffield	Group2	Argentina	Switzerland	2	0	H	NA	Argentina	Switzerland	19/07/1966
1966	England	Liverpool	Group3	Brazil	Portugal	1	3	A	NA	Portugal	Brazil	19/07/1966
1966	England	Middlesbrough	Group4	Italy	North-Korea	0	1	A	NA	North-Korea	Italy	19/07/1966
1966	England	London	Group1	Mexico	Uruguay	0	0	D	NA	NA	NA	19/07/1966
1966	England	Manchester	Group3	Bulgaria	Hungary	1	3	A	NA	Hungary	Bulgaria	20/07/1966
1966	England	Sunderland	Group4	Chile	USSR	1	2	A	NA	USSR	Chile	20/07/1966
1966	England	London	Group1	England	France	2	0	H	NA	England	France	20/07/1966
1966	England	Birmingham	Group2	West-Germany	Spain	2	1	H	NA	West-Germany	Spain	20/07/1966
1966	England	London	Quartfinals	England	Argentina	1	0	H	NA	England	Argentina	23/07/1966
1966	England	Sheffield	Quartfinals	West-Germany	Uruguay	4	0	H	NA	West-Germany	Uruguay	23/07/1966
1966	England	Sunderland	Quartfinals	Hungary	USSR	1	2	A	NA	USSR	Hungary	23/07/1966
1966	England	Liverpool	Quartfinals	North-Korea	Portugal	3	5	A	NA	Portugal	North-Korea	23/07/1966
1966	England	Liverpool	Semifinals	West-Germany	USSR	2	1	H	NA	West-Germany	USSR	25/07/1966
1966	England	London	Semifinals	England	Portugal	2	1	H	NA	England	Portugal	26/07/1966
1966	England	London	Third-place	Portugal	USSR	2	1	H	NA	Portugal	USSR	28/07/1966
1966	England	London	Final	England	West-Germany	4	2	H	England-won-in-AET	England	West-Germany	30/07/1966
1970	Mexico	Mexico-City	Group1	Mexico	USSR	0	0	D	NA	NA	NA	31/05/1970
1970	Mexico	Leon	Group4	Bulgaria	Peru	2	3	A	NA	Peru	Bulgaria	02/06/1970
1970	Mexico	Guadalajara	Group3	England	Romania	1	0	H	NA	England	Romania	02/06/1970
1970	Mexico	Puebla	Group2	Israel	Uruguay	0	2	A	NA	Uruguay	Israel	02/06/1970
1970	Mexico	Mexico-City	Group1	Belgium	El-Salvador	3	0	H	NA	Belgium	El-Salvador	03/06/1970
1970	Mexico	Guadalajara	Group3	Brazil	Czechoslovakia	4	1	H	NA	Brazil	Czechoslovakia	03/06/1970
1970	Mexico	Leon	Group4	West-Germany	Morocco	2	1	H	NA	West-Germany	Morocco	03/06/1970
1970	Mexico	Toluca	Group2	Italy	Sweden	1	0	H	NA	Italy	Sweden	03/06/1970
1970	Mexico	Mexico-City	Group1	Belgium	USSR	1	4	A	NA	USSR	Belgium	06/06/1970
1970	Mexico	Guadalajara	Group3	Czechoslovakia	Romania	1	2	A	NA	Romania	Czechoslovakia	06/06/1970
1970	Mexico	Puebla	Group2	Italy	Uruguay	0	0	D	NA	NA	NA	06/06/1970
1970	Mexico	Leon	Group4	Morocco	Peru	0	3	A	NA	Peru	Morocco	06/06/1970
1970	Mexico	Guadalajara	Group3	Brazil	England	1	0	H	NA	Brazil	England	07/06/1970
1970	Mexico	Leon	Group4	Bulgaria	West-Germany	2	5	A	NA	West-Germany	Bulgaria	07/06/1970
1970	Mexico	Toluca	Group2	Israel	Sweden	1	1	D	NA	NA	NA	07/06/1970
1970	Mexico	Mexico-City	Group1	Mexico	El-Salvador	4	0	H	NA	Mexico	El-Salvador	07/06/1970
1970	Mexico	Guadalajara	Group3	Brazil	Romania	3	2	H	NA	Brazil	Romania	10/06/1970
1970	Mexico	Mexico-City	Group1	El-Salvador	USSR	0	2	A	NA	USSR	El-Salvador	10/06/1970
1970	Mexico	Leon	Group4	West-Germany	Peru	3	1	H	NA	West-Germany	Peru	10/06/1970
1970	Mexico	Puebla	Group2	Sweden	Uruguay	1	0	H	NA	Sweden	Uruguay	10/06/1970
1970	Mexico	Leon	Group4	Bulgaria	Morocco	1	1	D	NA	NA	NA	11/06/1970
1970	Mexico	Guadalajara	Group3	Czechoslovakia	England	0	1	A	NA	England	Czechoslovakia	11/06/1970
1970	Mexico	Toluca	Group2	Israel	Italy	0	0	D	NA	NA	NA	11/06/1970
1970	Mexico	Mexico-City	Group1	Mexico	Belgium	1	0	H	NA	Mexico	Belgium	11/06/1970
1970	Mexico	Guadalajara	Quartfinals	Brazil	Peru	4	2	H	NA	Brazil	Peru	14/06/1970
1970	Mexico	Leon	Quartfinals	England	West-Germany	2	3	A	West-Germany-won-in-AET	West-Germany	England	14/06/1970
1970	Mexico	Toluca	Quartfinals	Mexico	Italy	1	4	A	NA	Italy	Mexico	14/06/1970
1970	Mexico	Mexico-City	Quartfinals	USSR	Uruguay	0	1	A	Uruguay-won-in-AET	Uruguay	USSR	14/06/1970
1970	Mexico	Guadalajara	Semifinals	Brazil	Uruguay	3	1	H	NA	Brazil	Uruguay	17/06/1970
1970	Mexico	Mexico-City	Semifinals	West-Germany	Italy	3	4	A	Italy-won-in-AET	Italy	West-Germany	17/06/1970
1970	Mexico	Mexico-City	Third-place	West-Germany	Uruguay	1	0	H	NA	West-Germany	Uruguay	20/06/1970
1970	Mexico	Mexico-City	Final	Brazil	Italy	4	1	H	NA	Brazil	Italy	21/06/1970
1974	Germany	Frankfurt	Group2	Brazil	Yugoslavia	0	0	D	NA	NA	NA	13/06/1974
1974	Germany	Dortmund	Group2	Zaire	Scotland	0	2	A	NA	Scotland	Zaire	14/06/1974
1974	Germany	Hamburg	Group1	East-Germany	Australia	2	0	H	NA	East-Germany	Australia	14/06/1974
1974	Germany	Berlin	Group1	West-Germany	Chile	1	0	H	NA	West-Germany	Chile	14/06/1974
1974	Germany	Munich	Group4	Italy	Haiti	3	1	H	NA	Italy	Haiti	15/06/1974
1974	Germany	Stuttgart	Group4	Poland	Argentina	3	2	H	NA	Poland	Argentina	15/06/1974
1974	Germany	Dusseldorf	Group3	Sweden	Bulgaria	0	0	D	NA	NA	NA	15/06/1974
1974	Germany	Hanover	Group3	Uruguay	Netherlands	0	2	A	NA	Netherlands	Uruguay	15/06/1974
1974	Germany	Berlin	Group1	Chile	East-Germany	1	1	D	NA	NA	NA	18/06/1974
1974	Germany	Hamburg	Group1	West-Germany	Australia	3	0	H	NA	West-Germany	Australia	18/06/1974
1974	Germany	Frankfurt	Group2	Scotland	Brazil	0	0	D	NA	NA	NA	18/06/1974
1974	Germany	Gelsenkirchen	Group2	Yugoslavia	Zaire	9	0	H	NA	Yugoslavia	Zaire	18/06/1974
1974	Germany	Stuttgart	Group4	Argentina	Italy	1	1	D	NA	NA	NA	19/06/1974
1974	Germany	Hanover	Group3	Bulgaria	Uruguay	1	1	D	NA	NA	NA	19/06/1974
1974	Germany	Munich	Group4	Haiti	Poland	0	7	A	NA	Poland	Haiti	19/06/1974
1974	Germany	Dortmund	Group3	Netherlands	Sweden	0	0	D	NA	NA	NA	19/06/1974
1974	Germany	Berlin	Group1	Australia	Chile	0	0	D	NA	NA	NA	22/06/1974
1974	Germany	Gelsenkirchen	Group2	Zarie	Brazil	0	3	A	NA	Brazil	Zaire	22/06/1974
1974	Germany	Hamburg	Group1	West-Germany	East-Germany	0	1	A	NA	East-Germany	West-Germany	22/06/1974
1974	Germany	Frankfurt	Group2	Scotland	Yugoslavia	1	1	D	NA	NA	NA	22/06/1974
1974	Germany	Munich	Group4	Argentina	Haiti	4	1	H	NA	Argentina	Haiti	23/06/1974
1974	Germany	Dortmund	Group3	Bulgaria	Netherlands	1	4	A	NA	Netherlands	Bulgaria	23/06/1974
1974	Germany	Stuttgart	Group4	Poland	Italy	2	1	H	NA	Poland	Italy	23/06/1974
1974	Germany	Dusseldorf	Group3	Sweden	Uruguay	3	0	H	NA	Sweden	Uruguay	23/06/1974
